School,Nickname,City,State,Enrollment,Conference
Air Force,Falcons,USAF Academy,CO,"4,181",Mountain West
Akron,Zips,Akron,OH,"14,516",MAC
Alabama,Crimson Tide,Tuscaloosa,AL,"38,316",SEC
Appalachian State,Mountaineers,Boone,NC,"20,641",Sun Belt
Arizona,Wildcats,Tucson,AZ,"49,471",Big 12
Arizona State,Sun Devils,Tempe,AZ,"77,881",Big 12
Arkansas,Razorbacks,Fayetteville,AR,"29,068",SEC
Arkansas State,Red Wolves,Jonesboro,AR,"12,863",Sun Belt
Army,Black Knights,West Point,NY,"4,594",American
Auburn,Tigers,Auburn,AL,"31,526",SEC
Ball State,Cardinals,Muncie,IN,"19,337",MAC
Baylor,Bears,Waco,TX,"20,626",Big 12
Boise State,Broncos,Boise,ID,"25,830",Mountain West
Boston College,Eagles,Chestnut Hill,MA,"15,046",ACC
Bowling Green,Falcons,Bowling Green,OH,"17,645",MAC
Buffalo,Bulls,Buffalo,NY,"32,332",MAC
BYU,Cougars,Provo,UT,"34,802",Big 12
California,Golden Bears,Berkeley,CA,"45,435",ACC
Central Michigan,Chippewas,Mount Pleasant,MI,"15,465",MAC
Charlotte,49ers,Charlotte,NC,"30,448",American
Cincinnati,Bearcats,Cincinnati,OH,"40,281",Big 12
Clemson,Tigers,Clemson,SC,"27,341",ACC
Coastal Carolina,Chanticleers,Conway,SC,"10,473",Sun Belt
Colorado,Buffaloes,Boulder,CO,"37,956",Big 12
Colorado State,Rams,Fort Collins,CO,"32,777",Mountain West
Duke,Blue Devils,Durham,NC,"17,620",ACC
East Carolina,Pirates,Greenville,NC,"28,021",American
Eastern Michigan,Eagles,Ypsilanti,MI,"15,370",MAC
Florida Atlantic,Owls,Boca Raton,FL,"30,155",American
FIU,Panthers,Miami,FL,"56,732",CUSA
Florida,Gators,Gainesville,FL,"55,781",SEC
Florida State,Seminoles,Tallahassee,FL,"45,130",ACC
Fresno State,Bulldogs,Fresno,CA,"24,585",Mountain West
Georgia,Bulldogs,Athens,GA,"40,118",SEC
Georgia Southern,Eagles,Statesboro,GA,"27,091",Sun Belt
Georgia State,Panthers,Atlanta,GA,"55,466",Sun Belt
Georgia Tech,Yellow Jackets,Atlanta,GA,"43,844",ACC
Hawaii,Rainbow Warriors,Honolulu,HI,"19,097",Mountain West
Houston,Cougars,Houston,TX,"47,031",Big 12
Illinois,Fighting Illini,Urbana–Champaign,IL,"56,607",Big Ten
